A20898	Krankenhaus	das	"""-er"			Meine Tante ist im Krankenhaus.	hospital	My aunt is in hospital.	[sound:word_A20898.mp3]	[sound:sentence_A20898.mp3]
A20899	Krankenhaus	das	"""-er"			Er hat sich verletzt und muss ins Krankenhaus.	hospital	He has injured himself and has to go to hospital.	[sound:word_A20899.mp3]	[sound:sentence_A20899.mp3]
A20900	Krankenkasse	die	-n			Bei welcher Krankenkasse sind Sie?	health insurance	Which health insurance company are you with?	[sound:word_A20900.mp3]	[sound:sentence_A20900.mp3]
A20901	Krankheit	die	-en			Welche Krankheit hat Herr Brandner?	illness	What illness does Mr Brandner have?	[sound:word_A20901.mp3]	[sound:sentence_A20901.mp3]
A20902	Kredit	der	-e			Ich brauche einen Kredit von der Bank.	credit	I need a loan from the bank.	[sound:word_A20902.mp3]	[sound:sentence_A20902.mp3]
A20903	Kredit	der	-e			Bezahlen Sie mit Kreditkarte?	credit	Do you pay by credit card?	[sound:word_A20903.mp3]	[sound:sentence_A20903.mp3]
A20904	Kreuzung	die	-en			Fahren Sie an der nächsten Kreuzung rechts.	crossing	Turn right at the next junction.	[sound:word_A20904.mp3]	[sound:sentence_A20904.mp3]
A20905	kriegen				kriegt, hat gekriegt	Ich kriege 15 Euro pro Stunde für meinen Job.	to get	I get 15 euros an hour for my job.	[sound:word_A20905.mp3]	[sound:sentence_A20905.mp3]
A20906	kriegen				kriegt, hat gekriegt	Auch wenn du schnell läufst: Ich kriege dich.	to get	Even if you run fast: I'll catch you.	[sound:word_A20906.mp3]	[sound:sentence_A20906.mp3]
A20907	kriegen				kriegt, hat gekriegt	Was kriegen Sie? - Ein Käsebrötchen, bitte.	to get	What can I get you? - A cheese roll, please.	[sound:word_A20907.mp3]	[sound:sentence_A20907.mp3]
A20908	Krimi	der	-s			Miriam liest gern spannende Krimis.	thriller	Miriam enjoys reading thrilling crime novels.	[sound:word_A20908.mp3]	[sound:sentence_A20908.mp3]
A20909	Krimi	der	-s			Schauen wir am Sonntag zusammen den Tatort? - Nein, ich mag keine Krimis.	thriller	Are we going to watch Tatort together on Sunday? - No, I don't like crime thrillers.	[sound:word_A20909.mp3]	[sound:sentence_A20909.mp3]
A20910	Küche	die	-n			Ich suche eine neue Wohnung mit drei Zimmern, Küche und Bad.	kitchen	I am looking for a new flat with three rooms, kitchen and bathroom.	[sound:word_A20910.mp3]	[sound:sentence_A20910.mp3]
A20911	Kuchen	der	-			Er ißt sonntags ein Stück Kuchen.	cake	He eats a piece of cake on Sundays.	[sound:word_A20911.mp3]	[sound:sentence_A20911.mp3]
A20912	Kuchen	der	-			Schokoladenkuchen schmeckt mir am besten.	cake	Chocolate cake is my favourite.	[sound:word_A20912.mp3]	[sound:sentence_A20912.mp3]
A20913	kühl					Es ist kühl draußen. Zieh dir eine Jacke an.	cool	It's chilly outside. Put on a jacket.	[sound:word_A20913.mp3]	[sound:sentence_A20913.mp3]
A20914	Kühlschrank	der	"""-e"			Haben wir noch Milch? - Ja, im Kühlschrank.	fridge	Do we still have milk? - Yes, in the fridge.	[sound:word_A20914.mp3]	[sound:sentence_A20914.mp3]
A20915	Kultur	die	-en			Ich finde fremde Länder und Kulturen sehr interessant.	culture	I find foreign countries and cultures very interesting.	[sound:word_A20915.mp3]	[sound:sentence_A20915.mp3]
A20916	Kultur	die	-en			Jana interessiert sich sehr für Kultur. Sie geht jede Woche ins Theater oder ins Museum.	culture	Jana is very interested in culture. She goes to the theatre or museum every week.	[sound:word_A20916.mp3]	[sound:sentence_A20916.mp3]
A20917	sich kümmern				kümmert, hat gekümmert	Sonja kann nicht arbeiten. Sie muss sich um ihre Tochter kümmern.	to take care of	Sonja can't work. She has to look after her daughter.	[sound:word_A20917.mp3]	[sound:sentence_A20917.mp3]
A20918	sich kümmern				kümmert, hat gekümmert	Ich habe jetzt keine Zeit. Ich muss mich um das Essen kümmern.	to take care of	I don't have time now. I have to take care of the food.	[sound:word_A20918.mp3]	[sound:sentence_A20918.mp3]
A20919	Kunde	der	-n			Einen Moment, bitte. Ich habe einen Kunden.	male customer	One moment, please. I have a customer.	[sound:word_A20919.mp3]	[sound:sentence_A20919.mp3]
A20920	Kundin	die	-nen			Einen Moment, bitte. Ich habe eine Kundin.	female customer	One moment, please. I have a customer.	[sound:word_A20920.mp3]	[sound:sentence_A20920.mp3]
A20921	kündigen				kündigt, hat gekündigt	Meine Arbeit gefällt mir nicht mehr. Ich habe heute gekündigt.	to cancel	I don't like my job any more. I have resigned today.	[sound:word_A20921.mp3]	[sound:sentence_A20921.mp3]
A20922	Kunst	die	"""-e"			Ich verstehe nichts von moderner Kunst.	art	I don't understand anything about modern art.	[sound:word_A20922.mp3]	[sound:sentence_A20922.mp3]
A20923	Kunst	die	"""-e"			Kunst war mein Lieblingsfach in der Schule.	art	Art was my favourite subject at school.	[sound:word_A20923.mp3]	[sound:sentence_A20923.mp3]
A20924	Kurs	der	-e			Der Deutschkurs dauert zwei Monate.	course	The German course lasts two months.	[sound:word_A20924.mp3]	[sound:sentence_A20924.mp3]
A20925	kurz					Ricardo hat kurze Haare.	short	Ricardo has short hair.	[sound:word_A20925.mp3]	[sound:sentence_A20925.mp3]
A20926	kurz					Kann ich Sie kurz sprechen?	short	Can I have a word with you?	[sound:word_A20926.mp3]	[sound:sentence_A20926.mp3]
A20927	lachen				lacht, hat gelacht	Die Kinder lachen über den Witz.	laugh	The children laugh at the joke.	[sound:word_A20927.mp3]	[sound:sentence_A20927.mp3]
A20928	lachen				lacht, hat gelacht	Lachen ist gesund.	laugh	Laughter is healthy.	[sound:word_A20928.mp3]	[sound:sentence_A20928.mp3]
A20929	Laden	der	""""			Ich kaufe meine Kleider immer in einem kleinen Laden im Zentrum.	small shop	I always buy my clothes in a small shop in the city centre.	[sound:word_A20929.mp3]	[sound:sentence_A20929.mp3]
A20930	Lampe	die	-n			Mach bitte die Lampe an. Es ist so dunkel.	lamp	Please switch on the lamp. It's so dark.	[sound:word_A20930.mp3]	[sound:sentence_A20930.mp3]
A20931	Land	das	"""-er"			Deutschland ist ein schönes Land.	country	Germany is a beautiful country.	[sound:word_A20931.mp3]	[sound:sentence_A20931.mp3]
A20932	Land	das	"""-er"			Möchten Sie lieber auf dem Land oder in der Stadt wohnen?	country	Would you prefer to live in the countryside or in the city?	[sound:word_A20932.mp3]	[sound:sentence_A20932.mp3]
A20933	Landschaft	die	-en			Die Landschaft ist sehr schön.	landscape	The landscape is very beautiful.	[sound:word_A20933.mp3]	[sound:sentence_A20933.mp3]
A20934	lang					Die Hose ist zu lang. Können Sie sie ändern?	long	The trousers are too long. Can you change them?	[sound:word_A20934.mp3]	[sound:sentence_A20934.mp3]
A20935	lange					Wie lange fährt der Zug von Hamburg nach Berlin?	Long	How long is the train journey from Hamburg to Berlin?	[sound:word_A20935.mp3]	[sound:sentence_A20935.mp3]
A20936	langsam					Könnten Sie bitte etwas langsamer sprechen?	slowly	Could you please speak a little slower?	[sound:word_A20936.mp3]	[sound:sentence_A20936.mp3]
A20937	langweilig					Mir ist langweilig.	boring	I'm bored.	[sound:word_A20937.mp3]	[sound:sentence_A20937.mp3]
A20938	langweilig					Sie findet Fußball sehr langweilig.	boring	She finds football very boring.	[sound:word_A20938.mp3]	[sound:sentence_A20938.mp3]
A20939	Laptop	der	-s			Ich brauche einen neuen Laptop.	laptop	I need a new laptop.	[sound:word_A20939.mp3]	[sound:sentence_A20939.mp3]
A20940	lassen				lässt, hat gelassen	Lass mich in Ruhe!	to let	Leave me alone!	[sound:word_A20940.mp3]	[sound:sentence_A20940.mp3]
A20941	lassen				lässt, hat gelassen	Kann ich mein Auto hier stehen lassen?	to let	Can I leave my car here?	[sound:word_A20941.mp3]	[sound:sentence_A20941.mp3]
A20942	lassen				lässt, hat gelassen	Ich kann meine kleine Tochter noch nicht allein lassen.	to let	I can't leave my little daughter alone yet.	[sound:word_A20942.mp3]	[sound:sentence_A20942.mp3]
A20943	laufen				läuft, ist gelaufen	Ich gehe jeden Morgen laufen.	to run	I go running every morning.	[sound:word_A20943.mp3]	[sound:sentence_A20943.mp3]
A20944	laufen				läuft, ist gelaufen	Unsere Tochter ist erst ein Jahr alt, aber sie kann schon laufen.	to run	Our daughter is only one year old, but she can already walk.	[sound:word_A20944.mp3]	[sound:sentence_A20944.mp3]
A20945	laufen				läuft, ist gelaufen	Wann läuft der Film?	to run	When is the film showing?	[sound:word_A20945.mp3]	[sound:sentence_A20945.mp3]
A20946	laut					Nicht so laut! Das Baby schläft.	noisy	Not so loud! The baby is sleeping.	[sound:word_A20946.mp3]	[sound:sentence_A20946.mp3]
A20947	leben				lebt, hat gelebt	Sie lebt bei ihrer Schwester.	to live	She lives with her sister.	[sound:word_A20947.mp3]	[sound:sentence_A20947.mp3]
A20948	leben				lebt, hat gelebt	Ihre Großeltern leben nicht mehr.	to live	Her grandparents are no longer alive.	[sound:word_A20948.mp3]	[sound:sentence_A20948.mp3]
A20949	Leben	das	-			Hier in London ist das Leben teuer.	Life	Life is expensive here in London.	[sound:word_A20949.mp3]	[sound:sentence_A20949.mp3]
A20950	Lebensmittel	die	(Pl.)			Lebensmittel bekommen Sie im Supermarkt.	foods / groceries	You can buy food at the supermarket.	[sound:word_A20950.mp3]	[sound:sentence_A20950.mp3]
A20951	leer					Die Kanne ist fast leer. Ich mache neuen Tee.	empty	The pot is almost empty. I'll make some more tea.	[sound:word_A20951.mp3]	[sound:sentence_A20951.mp3]
A20952	legen				legt, hat gelegt	Legen Sie das Buch auf den Tisch.	to lay / to put	Place the book on the table.	[sound:word_A20952.mp3]	[sound:sentence_A20952.mp3]
A20953	leicht					Das Paket ist leicht, es wiegt nur ein Kilo.	light	The package is lightweight, weighing just one kilo.	[sound:word_A20953.mp3]	[sound:sentence_A20953.mp3]
A20954	leicht					Die Aufgabe ist nicht leicht.	light	The task is not easy.	[sound:word_A20954.mp3]	[sound:sentence_A20954.mp3]
A20955	leider					Leider kann ich nicht kommen. Ich muss zum Arzt.	unfortunately	Unfortunately, I can't come. I have to see a doctor.	[sound:word_A20955.mp3]	[sound:sentence_A20955.mp3]
A20956	leidtun			leid tun	tut leid, hat leidgetan	Es tut mir leid, dass ich nicht kommen kann.	feels sorry for (so.) / feels sorry about (sth.)	I'm sorry I can't make it.	[sound:word_A20956.mp3]	[sound:sentence_A20956.mp3]
A20957	leihen				leiht, hat geliehen	Kannst du mir fünf Euro leihen?	to lend	Can you lend me five euros?	[sound:word_A20957.mp3]	[sound:sentence_A20957.mp3]
A20958	leise					Seid leise. Die anderen schlafen schon.	quiet	Be quiet. The others are already asleep.	[sound:word_A20958.mp3]	[sound:sentence_A20958.mp3]
A20959	lernen				lernt, hat gelernt	Wie lange lernen Sie schon Deutsch?	to learn	How long have you been learning German?	[sound:word_A20959.mp3]	[sound:sentence_A20959.mp3]
A20960	lesen				liest, hat gelesen	In der Schule lesen wir ein Buch von Goethe.	to read	At school we read a book by Goethe.	[sound:word_A20960.mp3]	[sound:sentence_A20960.mp3]
A20961	letzte			letzter, letztes		Morgen ist der letzte Kurstag.	last	Tomorrow is the last day of the course.	[sound:word_A20961.mp3]	[sound:sentence_A20961.mp3]
A20962	letzte			letzter, letztes		Was hast du letzte Woche gemacht?	last	What did you do last week?	[sound:word_A20962.mp3]	[sound:sentence_A20962.mp3]
A20963	Leute	die	(Pl.)			Auf der Party sind viele Leute.	people	There are a lot of people at the party.	[sound:word_A20963.mp3]	[sound:sentence_A20963.mp3]
A20964	Licht	das	-er			Es ist so dunkel. Mach bitte das Licht an!	light	It's so dark. Please switch on the light!	[sound:word_A20964.mp3]	[sound:sentence_A20964.mp3]
A20965	lieber			liebe, liebes		Liebe Susanne, lieber Hans!	dear, beloved	Dear Susanne, dear Hans!	[sound:word_A20965.mp3]	[sound:sentence_A20965.mp3]
A20966	lieber			liebe, liebes		Ich fahre lieber mit dem Zug als mit dem Bus.	dear, beloved	I prefer travelling by train rather than by bus.	[sound:word_A20966.mp3]	[sound:sentence_A20966.mp3]
A20967	lieber			liebe, liebes		Möchtest du Pommes oder lieber eine Pizza?	dear, beloved	Would you prefer fries or a pizza?	[sound:word_A20967.mp3]	[sound:sentence_A20967.mp3]
A20968	lieben				liebt, hat geliebt	Ich liebe dich!	to love	I love you!	[sound:word_A20968.mp3]	[sound:sentence_A20968.mp3]
A20969	Lieblingsfarbe			Lieblings+…		Meine Lieblingsfarbe ist Blau.	favourite colour	My favourite colour is blue.	[sound:word_A20969.mp3]	[sound:sentence_A20969.mp3]
A20970	Lied	das	-er			Zum Geburtstag singen wir dir ein Lied.	song	We'll sing you a song for your birthday.	[sound:word_A20970.mp3]	[sound:sentence_A20970.mp3]
A20971	liefern				liefert, hat geliefert	Wir liefern Ihnen den Schrank nach Hause.	to deliver	We deliver the wardrobe to your home.	[sound:word_A20971.mp3]	[sound:sentence_A20971.mp3]
A20972	liegen				liegt, ist gelegen, hat gelegen	Die Zeitung liegt auf dem Tisch.	to lie (down) / to recline	The newspaper is on the table.	[sound:word_A20972.mp3]	[sound:sentence_A20972.mp3]
A20973	liegen				liegt, ist gelegen, hat gelegen	Judith liegt noch im Bett.	to lie (down) / to recline	Judith is still in bed.	[sound:word_A20973.mp3]	[sound:sentence_A20973.mp3]
A20974	liegen				liegt, ist gelegen, hat gelegen	Frankfurt liegt am Main.	to lie (down) / to recline	Frankfurt is located on the Main.	[sound:word_A20974.mp3]	[sound:sentence_A20974.mp3]
A20975	Link	der	-s			Ich schicke dir einen Link zu Deutschübungen.	link	I'll send you a link to German exercises.	[sound:word_A20975.mp3]	[sound:sentence_A20975.mp3]
A20976	links					Gehen Sie die nächste Straße links.	left	Take the next street on the left.	[sound:word_A20976.mp3]	[sound:sentence_A20976.mp3]
A20977	Löffel	der	-			Bitte bringen Sie mir einen Löffel.	spoon	Please bring me a spoon.	[sound:word_A20977.mp3]	[sound:sentence_A20977.mp3]
A20978	Lokal	das	-e			Gibt es hier in der Nähe ein gutes Lokal?	pub / tavern / restaurant	Is there a good pub near here?	[sound:word_A20978.mp3]	[sound:sentence_A20978.mp3]
A20979	Lüge	die	-n			Das stimmt nicht! Das ist eine Lüge!	lie	That's not true! That's a lie!	[sound:word_A20979.mp3]	[sound:sentence_A20979.mp3]
A20980	lügen				lügt, hat gelogen	Du sollst nicht lügen.	to lie / to tell a lie	Thou shalt not lie.	[sound:word_A20980.mp3]	[sound:sentence_A20980.mp3]
A20981	lügen				lügt, hat gelogen	Glaub ihm nicht, er lügt.	to lie / to tell a lie	Don't believe him, he's lying.	[sound:word_A20981.mp3]	[sound:sentence_A20981.mp3]
A20982	Lust	die	(Sg.)			Gehen wir heute Abend ins Kino? - Nein, ich habe keine Lust.	desire / delight / lust	Are we going to the cinema tonight? - No, I don't feel like it.	[sound:word_A20982.mp3]	[sound:sentence_A20982.mp3]
A20983	Lust	die	(Sg.)			Ich habe Lust auf Schokolade.	desire / delight / lust	I have a craving for chocolate.	[sound:word_A20983.mp3]	[sound:sentence_A20983.mp3]
A20984	lustig					Warum lacht ihr? Was ist so lustig?	funny	Why are you laughing? What's so funny?	[sound:word_A20984.mp3]	[sound:sentence_A20984.mp3]
A20985	lustig					Ich mag lustige Filme.	funny	I like funny films.	[sound:word_A20985.mp3]	[sound:sentence_A20985.mp3]
A20986	machen				macht, hat gemacht	Was machst du heute Abend?	to do	What are you doing tonight?	[sound:word_A20986.mp3]	[sound:sentence_A20986.mp3]
A20987	machen				macht, hat gemacht	Ich muss jetzt das Essen machen.	to do	I have to make dinner now.	[sound:word_A20987.mp3]	[sound:sentence_A20987.mp3]
A20988	machen				macht, hat gemacht	Das macht 5 Euro 95.	to do	That makes 5 Euro 95.	[sound:word_A20988.mp3]	[sound:sentence_A20988.mp3]
A20989	machen				macht, hat gemacht	Entschuldigung! - Das macht doch nichts.	to do	Sorry! - That doesn't matter.	[sound:word_A20989.mp3]	[sound:sentence_A20989.mp3]
A20990	Mädchen	das	-			Familie Kurz bekommt ein Baby. - Junge oder Mädchen?	girl	The Kurz family is having a baby. - Boy or girl?	[sound:word_A20990.mp3]	[sound:sentence_A20990.mp3]
A20991	Magen	der	""""			Mein Magen tut weh.	stomach	My stomach hurts.	[sound:word_A20991.mp3]	[sound:sentence_A20991.mp3]
A20992	Mailbox	die	-en			Hier ist die Mailbox von Susanne König.	mailbox	Here is the mailbox of Susanne König.	[sound:word_A20992.mp3]	[sound:sentence_A20992.mp3]
A20993	Mailbox	die	-en			Ich habe dir auf die Mailbox gesprochen.	mailbox	I left you a message on your voicemail.	[sound:word_A20993.mp3]	[sound:sentence_A20993.mp3]
A20994	mal			einmal		Sag mal, wie gefällt dir mein neues Kleid?	times	Tell me, how do you like my new dress?	[sound:word_A20994.mp3]	[sound:sentence_A20994.mp3]
A20995	Mal	das				Das erste Mal war ich vor fünf Jahren in England.	time / mark	The first time I was in England was five years ago.	[sound:word_A20995.mp3]	[sound:sentence_A20995.mp3]
A20996	Mal	das				Tschüss, bis zum nächsten Mal!	time / mark	See you next time!	[sound:word_A20996.mp3]	[sound:sentence_A20996.mp3]
A20997	malen				malt, hat gemalt	Mein Sohn kann gut malen.	to paint	My son is good at drawing.	[sound:word_A20997.mp3]	[sound:sentence_A20997.mp3]
A20998	man					Wie schreibt man das?	you	How do you write that?	[sound:word_A20998.mp3]	[sound:sentence_A20998.mp3]
A20999	man					Hier darf man nicht rauchen.	you	Smoking is not allowed here.	[sound:word_A20999.mp3]	[sound:sentence_A20999.mp3]
A21000	manche			mancher, manches		Manche Nachbarn sind unfreundlich.	some	Some neighbours are unfriendly.	[sound:word_A21000.mp3]	[sound:sentence_A21000.mp3]
A21001	manchmal					Manchmal essen wir im Restaurant.	sometimes	Sometimes we eat in a restaurant.	[sound:word_A21001.mp3]	[sound:sentence_A21001.mp3]
A21002	manchmal					Rauchen Sie? - Manchmal.	sometimes	Do you smoke? - Sometimes.	[sound:word_A21002.mp3]	[sound:sentence_A21002.mp3]
A21003	Mann	der	"""-er"			Mein Mann ist Polizist.	man	My husband is a policeman.	[sound:word_A21003.mp3]	[sound:sentence_A21003.mp3]
A21004	männlich					Bitte wählen Sie: „weiblich“ oder „männlich“.	male	"Please select: ""female"" or ""male""."	[sound:word_A21004.mp3]	[sound:sentence_A21004.mp3]
A21005	Mannschaft	die	-en	1 zu 0 auch geschrieben 1:0		Meine Lieblingsmannschaft hat 1 zu 0 verloren.	team	My favourite team lost 1 to 0.	[sound:word_A21005.mp3]	[sound:sentence_A21005.mp3]
A21006	Mantel	der	""""			Es ist kalt. Zieh deinen Mantel an!	coat	It's cold. Put on your coat!	[sound:word_A21006.mp3]	[sound:sentence_A21006.mp3]
A21007	Markt	der	"""-e"			Ich gehe heute auf den Markt.	market	I'm going to the market today.	[sound:word_A21007.mp3]	[sound:sentence_A21007.mp3]
A21008	Markt	der	"""-e"			Samstags ist hier Markt.	market	There is a market here on Saturdays.	[sound:word_A21008.mp3]	[sound:sentence_A21008.mp3]
A21009	Maschine	die	-n			Die Waschmaschine funktioniert sehr gut.	machine	The washing machine works very well.	[sound:word_A21009.mp3]	[sound:sentence_A21009.mp3]
A21010	Medikament	das				Nehmen Sie dieses Medikament dreimal pro Tag!	drug	Take this medicine three times a day!	[sound:word_A21010.mp3]	[sound:sentence_A21010.mp3]
A21011	Meer	das	-e			Wir machen Urlaub am Meer.	sea	We are on holiday by the sea.	[sound:word_A21011.mp3]	[sound:sentence_A21011.mp3]
A21012	mehr					Dieses Auto kostet 1.000 Euro mehr als das andere.	more	This car costs 1,000 euros more than the other.	[sound:word_A21012.mp3]	[sound:sentence_A21012.mp3]
A21013	mehr					Mehr kann ich nicht essen!	more	That's all I can eat!	[sound:word_A21013.mp3]	[sound:sentence_A21013.mp3]
A21014	mehr					Ich möchte mehr Taschengeld.	more	I would like more pocket money.	[sound:word_A21014.mp3]	[sound:sentence_A21014.mp3]
A21015	meinen				meint, hat gemeint	Wie meinst du das? Erklär mir das bitte genauer!	to mean	What do you mean? Please explain that to me in more detail!	[sound:word_A21015.mp3]	[sound:sentence_A21015.mp3]
A21016	meinen				meint, hat gemeint	Der Film ist gut. Was meinst du?	to mean	The film is good. What do you think?	[sound:word_A21016.mp3]	[sound:sentence_A21016.mp3]
A21017	Meinung	die	-en			Meine Meinung zu dem Thema ist: …	opinion	My opinion on the subject is: ...	[sound:word_A21017.mp3]	[sound:sentence_A21017.mp3]
A21018	Meinung	die	-en			Was ist deine Meinung dazu?	opinion	What is your opinion on this?	[sound:word_A21018.mp3]	[sound:sentence_A21018.mp3]
A21019	Meinung	die	-en			Ich habe meine Meinung geändert.	opinion	I have changed my mind.	[sound:word_A21019.mp3]	[sound:sentence_A21019.mp3]
A21020	meisten					Ich bin neu hier im Haus. Die meisten Nachbarn kenne ich noch nicht.	most	I'm new here in the house. I don't know most of the neighbours yet.	[sound:word_A21020.mp3]	[sound:sentence_A21020.mp3]
A21021	meistens					Meistens trinke ich zum Frühstück nur einen Kaffee.	mostly	I usually just have a coffee for breakfast.	[sound:word_A21021.mp3]	[sound:sentence_A21021.mp3]
A21022	Menge	die	-n			Wir haben noch eine Menge Zeit.	amount	We still have a lot of time.	[sound:word_A21022.mp3]	[sound:sentence_A21022.mp3]
A21023	Menge	die	-n			Ich kenne eine Menge Leute in dieser Stadt.	amount	I know a lot of people in this city.	[sound:word_A21023.mp3]	[sound:sentence_A21023.mp3]
A21024	Mensch	der	-en			Die Menschen sind hier ein bisschen anders als im Süden.	human	The people here are a little different to those in the south.	[sound:word_A21024.mp3]	[sound:sentence_A21024.mp3]
A21025	merken				merkt, hat gemerkt	Ich kann mir keine Zahlen merken. Ich vergesse sie sofort.	to realize / to notice / to memorize	I can't memorise numbers. I forget them immediately.	[sound:word_A21025.mp3]	[sound:sentence_A21025.mp3]
A21026	merken				merkt, hat gemerkt	Merkst du, dass es wärmer wird?	to realize / to notice / to memorize	Do you notice that it's getting warmer?	[sound:word_A21026.mp3]	[sound:sentence_A21026.mp3]
A21027	Messe	die	-n			Kommst du mit zur Buchmesse nach Frankfurt?	fair	Are you coming to the book fair in Frankfurt?	[sound:word_A21027.mp3]	[sound:sentence_A21027.mp3]
A21028	Messer	das	-			Das Messer schneidet nicht gut.	knife	The knife does not cut well.	[sound:word_A21028.mp3]	[sound:sentence_A21028.mp3]
A21029	Messer	das	-			Ich habe nur ein Messer. Kannst du mir bitte noch eine Gabel bringen?	knife	I only have a knife. Can you bring me another fork, please?	[sound:word_A21029.mp3]	[sound:sentence_A21029.mp3]
A21030	Miete	die	-n			Wie viel Miete bezahlst du für deine Wohnung?	rental fee	How much rent do you pay for your flat?	[sound:word_A21030.mp3]	[sound:sentence_A21030.mp3]
A21031	mieten				mietet, hat gemietet	Ich möchte ein Auto mieten.	to rent	I would like to hire a car.	[sound:word_A21031.mp3]	[sound:sentence_A21031.mp3]
A21032	Milch	die	(Sg.)			Die Milch steht im Kühlschrank.	milk	The milk is in the fridge.	[sound:word_A21032.mp3]	[sound:sentence_A21032.mp3]
A21033	mindestens					Bitte kommen Sie mindestens zwei Stunden vor Ihrem Flug zum Flughafen.	at least	Please arrive at the airport at least two hours before your flight.	[sound:word_A21033.mp3]	[sound:sentence_A21033.mp3]
A21034	mindestens					Schreiben Sie mindestens sieben Sätze!	at least	Write at least seven sentences!	[sound:word_A21034.mp3]	[sound:sentence_A21034.mp3]
A21035	mindestens					Ich warte schon mindestens 20 Minuten. Wann kommst du denn endlich?	at least	I've been waiting at least 20 minutes. When are you finally coming?	[sound:word_A21035.mp3]	[sound:sentence_A21035.mp3]
A21036	Mineralwasser	das	(Sg.)			Ein Glas Mineralwasser, bitte.	mineral water	A glass of mineral water, please.	[sound:word_A21036.mp3]	[sound:sentence_A21036.mp3]
A21037	mit					Trinken Sie den Kaffee mit oder ohne Zucker?	with	Do you drink your coffee with or without sugar?	[sound:word_A21037.mp3]	[sound:sentence_A21037.mp3]
A21038	mit					Fahren wir mit dem Auto oder mit dem Zug nach Hamburg?	with	Are we travelling to Hamburg by car or by train?	[sound:word_A21038.mp3]	[sound:sentence_A21038.mp3]
A21039	mitbringen					Ich gehe einkaufen. Soll ich dir was mitbringen?	to bring along / to bring (so./sth.)	I'm going shopping. Shall I bring you something?	[sound:word_A21039.mp3]	[sound:sentence_A21039.mp3]
A21040	mitkommen					Ich komme mit meinem Freund.	to come along	I'm coming with my boyfriend.	[sound:word_A21040.mp3]	[sound:sentence_A21040.mp3]
A21041	mitkommen					Ich gehe ins Kino. Kommst du mit?	to come along	I'm going to the cinema. Are you coming?	[sound:word_A21041.mp3]	[sound:sentence_A21041.mp3]
A21042	mitkommen					Kommst du mit ins Kino? - Ich weiß es noch nicht.	to come along	Are you coming to the cinema? - I don't know yet.	[sound:word_A21042.mp3]	[sound:sentence_A21042.mp3]
A21043	mitmachen					Wir organisieren ein Fest. Möchtest du auch mitmachen?	to participate	We are organising a party. Would you like to join us?	[sound:word_A21043.mp3]	[sound:sentence_A21043.mp3]
A21044	mitnehmen					Wir fahren am Wochenende in die Berge. Ich muss mein Zelt mitnehmen.	to take (sth./so.) / to pick (sth./so.) / to give a lift	We're going to the mountains at the weekend. I have to take my tent with me.	[sound:word_A21044.mp3]	[sound:sentence_A21044.mp3]
A21045	mitspielen					Warum spielt Ihr nicht mit?	to play along	Why don't you play along?	[sound:word_A21045.mp3]	[sound:sentence_A21045.mp3]
A21046	Mitarbeiter	der	-			Unsere Firma hat sieben Mitarbeiter.	employee	Our company has seven employees.	[sound:word_A21046.mp3]	[sound:sentence_A21046.mp3]
A21047	Mittagessen	das	-			Um zwölf Uhr gibt es Mittagessen.	lunch	Lunch is served at twelve o'clock.	[sound:word_A21047.mp3]	[sound:sentence_A21047.mp3]
A21048	Mitte	die	-n			Den Schrank stellen wir an die Wand, den Tisch in die Mitte.	center	We place the cupboard against the wall and the table in the centre.	[sound:word_A21048.mp3]	[sound:sentence_A21048.mp3]
A21049	Mitte	die	-n			Ich habe bis Mitte August frei.	center	I'm free until mid-August.	[sound:word_A21049.mp3]	[sound:sentence_A21049.mp3]
A21050	Mittel	das	-			Haben Sie ein Mittel gegen Magenschmerzen?	medium	Do you have a remedy for stomach pain?	[sound:word_A21050.mp3]	[sound:sentence_A21050.mp3]
A21051	Mittel	das	-			Das neue Waschmittel ist sehr gut.	medium	The new detergent is very good.	[sound:word_A21051.mp3]	[sound:sentence_A21051.mp3]
A21052	Möbel	die	(Pl.)			Eure Möbel sind sehr schön.	furniture	Your furniture is very beautiful.	[sound:word_A21052.mp3]	[sound:sentence_A21052.mp3]
A21053	Mobiltelefon	das	-e			Wie kann ich Sie erreichen? Haben Sie ein Mobiltelefon?	mobile phone	How can I reach you? Do you have a mobile phone?	[sound:word_A21053.mp3]	[sound:sentence_A21053.mp3]
A21054	möchten				möchte, mochte, hat gemocht	Was möchten Sie trinken?	to want	What would you like to drink?	[sound:word_A21054.mp3]	[sound:sentence_A21054.mp3]
A21055	Mode	die	-n			Wie findest du die neue Mode?	Fashion	What do you think of the new fashion?	[sound:word_A21055.mp3]	[sound:sentence_A21055.mp3]
A21056	modern					Das Stadtzentrum von Frankfurt ist sehr modern.	modern	The city centre of Frankfurt is very modern.	[sound:word_A21056.mp3]	[sound:sentence_A21056.mp3]
A21057	mögen				mag, mochte, hat gemocht	Magst du Schokolade? - Nein, ich mag keine Süßigkeiten.	to like	Do you like chocolate? - No, I don't like sweets.	[sound:word_A21057.mp3]	[sound:sentence_A21057.mp3]
A21058	möglich					Kann ich bitte sofort einen Termin haben? - Das ist leider nicht möglich.	possible	Can I have an appointment immediately, please? - Unfortunately this is not possible.	[sound:word_A21058.mp3]	[sound:sentence_A21058.mp3]
